ID,Ciudad,Tipo,Precio (EUR),Año de Construcción,Superficie (m2),Habitaciones,Baños,Garaje,Ascensor,Energía Renovable
1,Málaga,Dúplex,350000,1990,120,3,1,1,0,
2,Valencia,Casa,350000,,60,1,3,1,0,
3,Bilbao,Casa,350000,1990,120,3,1,1,,
4,Málaga,Casa,350000,2000,,4,1,1,1,Solar
5,Sevilla,Casa,350000,2010,150,2,1,0,,Solar
6,Murcia,Casa,,1990,150,2,1,0,0,Eólica
7,Bilbao,Casa,,1980,,5,1,0,0,Eólica
8,Bilbao,Dúplex,300000,2010,60,2,2,1,0,
9,Málaga,Dúplex,250000,2010,100,5,1,1,0,
10,Barcelona,Casa,350000,1980,80,1,1,0,0,
11,Sevilla,Dúplex,200000,1990,60,4,3,0,0,Eólica
12,Málaga,Apartamento,,1980,80,5,1,1,0,Eólica
13,Sevilla,Casa,200000,,,1,3,1,1,Eólica
14,Sevilla,Apartamento,200000,2010,200,2,2,0,,Eólica
15,Murcia,Apartamento,200000,2020,80,2,1,0,0,Eólica
16,Bilbao,Casa,300000,2020,100,1,3,1,1,Eólica
17,Valencia,Dúplex,,2000,200,2,3,0,1,Eólica
18,Murcia,Apartamento,200000,1980,80,1,2,0,,
19,Murcia,Casa,350000,1980,,5,1,0,0,
20,Sevilla,Apartamento,400000,2000,200,5,1,1,,
21,Granada,Apartamento,200000,2000,,1,3,1,0,
22,Bilbao,Apartamento,300000,2000,80,5,1,1,1,Eólica
23,Barcelona,Apartamento,,2010,,5,3,1,1,Solar
24,Murcia,Dúplex,300000,,100,5,1,1,1,Eólica
25,Valencia,Apartamento,200000,1980,80,3,3,1,1,Solar
26,Granada,Apartamento,,2010,80,4,1,1,,
27,Granada,Apartamento,400000,2000,80,2,2,0,0,Eólica
28,Barcelona,Dúplex,200000,1980,60,3,1,0,0,
29,Murcia,Apartamento,300000,2010,60,5,1,0,,Eólica
30,Valencia,Apartamento,250000,,60,1,2,0,0,
31,Bilbao,Dúplex,350000,2010,100,5,1,0,1,Solar
32,Madrid,Dúplex,300000,,200,4,2,0,0,Solar
33,Valencia,Dúplex,,2000,,5,1,0,1,Solar
34,Barcelona,Apartamento,200000,,150,1,3,1,,Eólica
35,Granada,Dúplex,350000,1980,80,4,3,1,0,Solar
36,Bilbao,Dúplex,200000,2000,,5,1,0,,Eólica
37,Valencia,Apartamento,,1980,80,4,1,0,0,Solar
38,Madrid,Dúplex,200000,2020,100,2,1,1,1,Solar
39,Madrid,Apartamento,250000,1990,80,2,3,0,,Eólica
40,Sevilla,Casa,350000,,60,5,1,0,0,Eólica
41,Sevilla,Dúplex,350000,1990,150,4,3,1,1,Solar
42,Málaga,Casa,,1990,120,1,2,0,,Eólica
43,Barcelona,Apartamento,250000,,80,5,3,1,,Solar
